train,2016-12-30T19:00:00.000+11:00,Allawah Station,99
train,2016-12-30T20:00:00.000+11:00,Allawah Station,72
train,2016-12-30T21:00:00.000+11:00,Allawah Station,112
train,2016-12-30T22:00:00.000+11:00,Allawah Station,76
train,2016-12-30T23:00:00.000+11:00,Allawah Station,32
train,2016-12-31T05:00:00.000+11:00,Allawah Station,22
train,2016-12-31T06:00:00.000+11:00,Allawah Station,49
train,2016-12-31T07:00:00.000+11:00,Allawah Station,54
train,2016-12-31T08:00:00.000+11:00,Allawah Station,85
train,2016-12-31T09:00:00.000+11:00,Allawah Station,96
train,2016-12-31T10:00:00.000+11:00,Allawah Station,71
train,2016-12-31T11:00:00.000+11:00,Allawah Station,98
train,2016-12-31T12:00:00.000+11:00,Allawah Station,115
train,2016-12-31T13:00:00.000+11:00,Allawah Station,137
train,2016-12-31T14:00:00.000+11:00,Allawah Station,113
train,2016-12-31T15:00:00.000+11:00,Allawah Station,146
train,2016-12-31T16:00:00.000+11:00,Allawah Station,214
train,2016-12-31T17:00:00.000+11:00,Allawah Station,142
train,2016-12-31T18:00:00.000+11:00,Allawah Station,228
train,2016-12-31T19:00:00.000+11:00,Allawah Station,184
train,2016-12-31T20:00:00.000+11:00,Allawah Station,163
train,2016-12-31T21:00:00.000+11:00,Allawah Station,144
train,2016-12-31T22:00:00.000+11:00,Allawah Station,153
train,2016-12-31T23:00:00.000+11:00,Allawah Station,44
train,2017-01-01T00:00:00.000+11:00,Allawah Station,46
train,2017-01-01T01:00:00.000+11:00,Allawah Station,228
train,2017-01-01T02:00:00.000+11:00,Allawah Station,189
train,2017-01-01T03:00:00.000+11:00,Allawah Station,30
train,2017-01-01T08:00:00.000+11:00,Allawah Station,42
train,2017-01-01T09:00:00.000+11:00,Allawah Station,60
train,2017-01-01T10:00:00.000+11:00,Allawah Station,24
train,2017-01-01T11:00:00.000+11:00,Allawah Station,63
train,2017-01-01T12:00:00.000+11:00,Allawah Station,103
train,2017-01-01T13:00:00.000+11:00,Allawah Station,75
train,2017-01-01T14:00:00.000+11:00,Allawah Station,102
train,2017-01-01T15:00:00.000+11:00,Allawah Station,114
train,2017-01-01T16:00:00.000+11:00,Allawah Station,94
train,2017-01-01T17:00:00.000+11:00,Allawah Station,116
train,2017-01-01T18:00:00.000+11:00,Allawah Station,112
train,2017-01-01T19:00:00.000+11:00,Allawah Station,61
train,2017-01-01T20:00:00.000+11:00,Allawah Station,56
train,2017-01-01T21:00:00.000+11:00,Allawah Station,80
train,2017-01-01T22:00:00.000+11:00,Allawah Station,50
train,2017-01-01T23:00:00.000+11:00,Allawah Station,20
train,2016-12-26T06:00:00.000+11:00,Arncliffe Station,18
train,2016-12-26T08:00:00.000+11:00,Arncliffe Station,58
train,2016-12-26T09:00:00.000+11:00,Arncliffe Station,120
train,2016-12-26T10:00:00.000+11:00,Arncliffe Station,116
train,2016-12-26T11:00:00.000+11:00,Arncliffe Station,152
train,2016-12-26T12:00:00.000+11:00,Arncliffe Station,127
train,2016-12-26T13:00:00.000+11:00,Arncliffe Station,132
train,2016-12-26T14:00:00.000+11:00,Arncliffe Station,102
train,2016-12-26T15:00:00.000+11:00,Arncliffe Station,87
train,2016-12-26T16:00:00.000+11:00,Arncliffe Station,83
train,2016-12-26T17:00:00.000+11:00,Arncliffe Station,94
train,2016-12-26T18:00:00.000+11:00,Arncliffe Station,87
train,2016-12-26T19:00:00.000+11:00,Arncliffe Station,94
train,2016-12-26T20:00:00.000+11:00,Arncliffe Station,70
train,2016-12-26T21:00:00.000+11:00,Arncliffe Station,46
train,2016-12-26T22:00:00.000+11:00,Arncliffe Station,52
train,2016-12-27T08:00:00.000+11:00,Arncliffe Station,52
train,2016-12-27T09:00:00.000+11:00,Arncliffe Station,102
train,2016-12-27T10:00:00.000+11:00,Arncliffe Station,147
train,2016-12-27T11:00:00.000+11:00,Arncliffe Station,99
train,2016-12-27T12:00:00.000+11:00,Arncliffe Station,126
